,Company Name,Cash Flow,PE Ratio,PBV,ICR,ROE,ROCE
36,Rico Auto,3,-82.56,0.83,"['0.87', '1.69', '4.27', '5.07']","['-0.99', '2.83', '8.40', '9.12']","['3.64', '5.60', '12.93', '13.84']"
37,Force Motors,-31,-12.47,0.84,"['-4.81', '4.21', '13.66', '31.07']","['-6.72', '2.55', '7.41', '8.16']","['-5.73', '5.35', '9.59', '11.26']"
38,Modi Rubber,-5,52.01,0.54,"['-1.29', '-11.26', '0.80', '-28.21']","['1.06', '-0.57', '2.17', '3.78']","['-0.79', '-1.65', '0.11', '-3.52']"
39,Subros,28,42.58,2.53,"['4.43', '3.28', '3.78', '3.04']","['5.96', '11.28', '11.21', '14.97']","['8.40', '14.68', '21.42', '10.82']"
40,Rane Holdings,0,-16.66,1.10,"['0.34', '0.85', '2.59', '3.15']","['-6.61', '-0.33', '11.98', '16.20']","['0.98', '3.18', '9.11', '10.72']"
41,Exide Ind,10,19.27,2.15,"['8.56', '11.29', '11.65', '11.31']","['11.13', '12.01', '13.84', '12.72']","['5.09', '5.16', '6.54', '7.12']"
42,Sona BLW,-34,0.00,0.00,"['9.30', '5.04', '10.71', '']","['15.29', '7.43', '23.59', '']","['17.95', '8.54', '33.39', '']"
43,Samkrg Pistons,0,8.67,0.91,"['23.27', '26.15', '23.09', '21.88']","['10.54', '13.28', '15.05', '16.19']","['13.76', '16.70', '21.34', '21.64']"
44,Enkei Wheels,-11,0.00,2.44,"['-1.69', '-4.93', '1.07', '4.02']","['-16.44', '1.48', '9.86', '13.37']","['-5.91', '-7.07', '2.51', '5.59']"
45,Suprajit Eng,15,27.01,3.89,"['11.11', '8.08', '9.36', '8.14']","['14.41', '12.17', '17.26', '21.14']","['19.22', '18.26', '24.28', '26.68']"
46,Duncan Eng,0,5.32,1.40,"['19.99', '13.22', '5.16', '1.07']","['26.29', '14.58', '14.48', '0.89']","['12.71', '23.76', '19.60', '0.87']"
47,Gabriel India,90,38.06,2.13,"['12.88', '29.01', '49.76', '48.51']","['8.65', '12.99', '16.09', '17.95']","['11.42', '15.15', '23.04', '24.84']"
48,Hind Motors,5,36.94,-3.85,"['69.23', '-15.88', '17.15', '-0.92']","['-10.80', '0.00', '-71.28', '-88.51']","['-27.25', '2.90', '-102.69', '14.88']"
49,Sharda Motor,-5,3.50,2.71,"['74.78', '85.55', '2,731.89', '55.71']","['15.46', '14.36', '19.94', '22.87']","['23.83', '20.91', '25.81', '29.92']"
50,Goodyear,157,15.09,2.45,"['54.56', '30.43', '53.71', '69.96']","['16.22', '9.70', '11.77', '16.20']","['21.27', '12.65', '17.98', '15.61']"
51,Eicher Motors,50,52.82,6.22,"['108.43', '124.05', '415.58', '536.41']","['11.77', '18.30', '24.69', '27.87']","['14.95', '22.46', '32.79', '39.47']"
52,Ndr Auto Compon,-1,16.05,0.81,"['121.19', '7.43', '-118.13', '']","['4.97', '1.25', '0.30', '']","['6.67', '0.86', '-0.53', '']"
53,Majestic Auto,16,0.00,0.27,"['2.61', '2.18', '3.62', '1.47']","['4.73', '-5.34', '11.20', '-0.86']","['6.92', '8.31', '12.64', '4.74']"
54,Scooters India,40,-6.42,638.60,"['--', '--', '--', '-30.47']","['-9,682.78', '-31.43', '-7.01', '-26.71']","['-81.82', '-23.43', '-5.58', '-21.45']"
55,PPAP Automotive,-1,131.33,0.91,"['2.26', '9.71', '12.92', '13.90']","['0.68', '6.00', '11.42', '14.57']","['2.34', '7.71', '16.10', '20.31']"
56,Amara Raja Batt,64,22.55,3.46,"['83.94', '69.96', '106.05', '']","['15.36', '18.07', '14.48', '']","['19.78', '21.87', '20.51', '']"
57,MRF,"-1,011",0.00,2.60,"['7.32', '5.90', '7.18', '7.53']","['9.52', '11.64', '10.43', '11.62']","['13.13', '12.17', '14.79', '9.51']"
58,Krypton,0,51.17,0.49,"['1.10', '1.17', '1.61', '0.94']","['0.92', '2.48', '3.44', '-0.15']","['5.67', '5.77', '8.07', '5.99']"
59,Bosch,33,86.43,4.23,"['94.51', '161.43', '176.49', '647.82']","['4.91', '7.01', '17.52', '13.74']","['12.88', '17.07', '24.78', '13.18']"
60,RACL Geartech,0,11.03,2.45,"['4.57', '3.59', '3.72', '']","['21.74', '19.93', '14.70', '']","['22.21', '22.71', '21.12', '']"
61,Automotive Axle,-1,70.29,2.86,"['12.43', '35.30', '338.54', '234.24']","['4.10', '7.73', '22.57', '18.88']","['6.33', '11.18', '30.36', '18.66']"
62,Ashok Leyland,-707,-202.68,4.24,"['0.92', '1.44', '2.90', '3.09']","['-2.10', '4.32', '23.76', '23.72']","['6.80', '11.10', '18.32', '19.67']"
