,Company Name,Cash Flow,PE Ratio,PBV,ICR,ROE,ROCE
41,Milkfood,-1,65.37,1.33,"['1.40', '2.04', '2.70', '1.93']","['2.05', '7.19', '9.44', '8.31']","['5.21', '8.50', '11.55', '12.43']"
42,Heritage Foods,51,9.11,2.29,"['11.67', '-5.74', '6.95', '5.93']","['25.16', '-34.88', '10.14', '8.07']","['33.39', '-19.42', '11.41', '7.83']"
43,Ajanta Soya,2,4.55,1.44,"['24.03', '5.33', '0.36', '4.21']","['31.68', '18.11', '-0.90', '2.10']","['48.90', '26.56', '3.22', '9.18']"
44,Goodricke Group,-16,0.00,1.41,"['7.13', '2.38', '6.25', '24.00']","['6.11', '5.42', '3.09', '10.33']","['7.83', '5.30', '7.14', '13.10']"
45,TATA Cons. Prod,883,68.70,4.05,"['20.53', '14.92', '15.64', '19.11']","['5.90', '3.33', '5.58', '7.04']","['8.21', '7.03', '8.66', '9.08']"
46,Amrit Corp,1,13.04,1.08,"['119.65', '-23.05', '14.52', '12.32']","['8.47', '-1.31', '5.54', '8.31']","['11.23', '-3.34', '5.39', '9.37']"
47,Ravalgaon Sugar,0,0.00,4.28,"['-2.51', '-3.65', '-3.37', '-0.62']","['-97.69', '-77.31', '190.21', '0.00']","['-109.59', '-54.99', '-58.17', '19.07']"
48,ISGEC Heavy Eng,-25,0.00,1.82,"['8.08', '6.21', '9.88', '12.33']","['12.26', '8.09', '9.42', '11.38']","['13.85', '10.03', '12.77', '8.89']"
49,Hatsun Agro,-6,63.42,15.29,"['4.30', '2.48', '2.88', '2.35']","['24.11', '12.41', '14.27', '24.85']","['26.66', '14.92', '18.32', '22.03']"
50,James Warren,-15,2.82,0.60,"['--', '--', '--', '--']","['25.84', '3.36', '3.54', '-2.21']","['12.52', '3.81', '4.23', '-2.87']"
51,Triveni Engg,-20,7.04,1.31,"['9.87', '6.36', '4.64', '2.76']","['18.93', '25.03', '18.96', '12.58']","['24.60', '26.01', '19.49', '22.17']"
52,Umang Dairies,-3,31.96,2.10,"['2.63', '2.11', '2.62', '2.63']","['6.62', '4.79', '8.80', '9.95']","['10.87', '8.76', '12.90', '12.31']"
53,GM Breweries,5,9.51,1.51,"['1,581.70', '1,760.34', '1,731.36', '3,579.41']","['15.85', '15.76', '22.43', '25.02']","['19.68', '20.91', '33.20', '37.58']"
54,Terai Tea Co,0,3.09,0.18,"['2.59', '1.33', '1.33', '1.32']","['5.87', '2.19', '2.52', '-0.06']","['6.02', '3.29', '3.33', '3.72']"
55,ADF Foods,19,35.73,6.65,"['58.52', '42.46', '44.35', '29.45']","['18.30', '20.92', '14.74', '10.36']","['24.07', '26.58', '21.21', '17.99']"
56,United Brewerie,380,290.06,9.16,"['8.79', '19.28', '29.18', '13.76']","['3.16', '12.15', '17.68', '14.65']","['5.36', '16.85', '27.71', '22.39']"
57,Lotus Chocolate,0,10.97,-3.38,"['9.28', '4.92', '9.12', '2.90']","['-30.78', '-11.95', '-16.07', '-9.66']","['13.15', '7.23', '9.66', '13.17']"
58,Nestle,177,0.00,87.82,"['18.13', '21.71', '22.70', '21.01']","['103.12', '102.58', '43.74', '35.81']","['55.05', '56.25', '40.76', '32.90']"
59,Gillanders Arbu,-1,-5.62,0.37,"['0.65', '0.54', '1.13', '0.92']","['-6.18', '-5.51', '0.11', '-2.93']","['6.96', '6.28', '12.52', '9.67']"
60,Modern Dairies,0,-0.68,-0.21,"['-309.53', '29.36', '31.07', '-59.66']","['0.00', '-4.45', '-7.40', '0.00']","['10.63', '-4.66', '-7.74', '21.19']"
61,Diana Tea,3,5.06,0.49,"['4.47', '1.19', '0.15', '2.94']","['9.73', '1.06', '-2.65', '4.89']","['10.38', '3.69', '0.35', '5.67']"
62,Britannia,66,46.82,24.64,"['23.66', '25.20', '195.60', '201.05']","['52.53', '31.85', '27.25', '29.48']","['59.71', '36.81', '40.49', '28.36']"
63,Joonktollee Tea,0,-3.07,0.43,"['-0.20', '-2.53', '-1.51', '-1.01']","['-9.11', '-21.23', '-11.49', '-9.17']","['-1.43', '-12.82', '-5.96', '-4.05']"
64,Sampre Nutritio,0,91.56,0.65,"['1.07', '1.21', '1.09', '1.42']","['0.70', '3.13', '2.22', '2.38']","['7.02', '11.76', '10.63', '8.27']"
65,Tata Coffee,132,16.75,1.63,"['6.37', '4.02', '4.47', '6.69']","['9.75', '6.56', '5.82', '9.50']","['13.13', '8.71', '7.55', '4.30']"
66,Dhunseri Ventur,9,1.49,0.22,"['29.07', '0.39', '2.80', '22.92']","['14.47', '-4.43', '2.41', '4.38']","['7.53', '0.18', '4.06', '3.97']"
67,Manorama Indust,-9,0.00,6.18,"['3.22', '4.31', '6.07', '10.19']","['12.58', '18.33', '18.34', '40.86']","['22.79', '32.86', '29.66', '72.15']"
68,Ponni Sugars(E),7,4.95,0.39,"['53.94', '14.19', '4.84', '8.64']","['7.86', '12.50', '2.88', '1.22']","['8.75', '14.67', '5.57', '1.19']"
69,Tasty Dairy Spe,0,0.00,0.79,"['-2.64', '2.43', '2.82', '2.44']","['-23.59', '5.77', '8.67', '8.54']","['-20.69', '14.90', '15.86', '17.47']"
70,Parag Milk Food,-15,42.73,0.95,"['1.89', '4.33', '5.13', '4.33']","['2.23', '10.28', '14.59', '12.22']","['8.87', '16.92', '20.48', '19.67']"
71,Retro Green Rev,0,20.04,3.43,"['4,174.41', '180.53', '282.74', '1,917.95']","['17.08', '0.19', '0.40', '0.78']","['16.26', '0.19', '0.54', '1.00']"
72,LT Foods,-2,6.83,1.06,"['5.60', '3.15', '2.54', '2.48']","['15.61', '12.45', '9.52', '11.41']","['20.57', '19.92', '20.62', '25.22']"
73,Mahaan Foods,0,58.45,0.33,"['373.51', '--', '741.91', '13.25']","['0.56', '5.86', '18.87', '10.56']","['0.43', '9.40', '2.51', '1.15']"
74,Dwarikesh Sugar,-1,6.34,1.00,"['4.37', '3.17', '6.22', '5.04']","['15.81', '15.18', '20.51', '27.73']","['22.33', '14.89', '21.02', '29.41']"
75,BCL Industries,-1,5.71,0.91,"['4.62', '3.36', '3.78', '2.02']","['14.84', '11.94', '22.68', '13.69']","['20.31', '16.54', '24.92', '17.70']"
76,Asian Tea Expo,0,15.57,0.49,"['1.28', '1.69', '1.72', '1.19']","['2.47', '7.49', '3.89', '0.07']","['12.92', '23.02', '12.44', '2.31']"
77,KLRF,0,0.00,0.61,"['2.49', '1.87', '0.69', '1.14']","['10.77', '11.44', '-4.39', '4.59']","['20.64', '23.50', '9.49', '18.39']"
