,Company Name,Cash Flow,PE Ratio,PBV,ICR,ROE,ROCE
36,Interactive Fin,0,3.57,0.33,"['3,288.55', '324.28', '86.02', '24.64']","['9.25', '3.21', '14.91', '7.83']","['13.44', '4.41', '19.71', '10.86']"
37,Libord Finance,0,8.33,0.64,"['4.61', '11.43', '104.12', '22.20']","['7.61', '-21.32', '0.33', '4.11']","['0.95', '2.71', '0.20', '4.86']"
38,eClerx Services,174,13.52,2.50,"['19.77', '15.91', '7,987.51', '8,957.58']","['18.82', '15.99', '16.53', '24.07']","['23.27', '19.87', '21.49', '28.25']"
39,ABM Knowledg,31,11.09,1.22,"['67.27', '84.52', '87.94', '60.47']","['10.64', '9.32', '9.92', '9.90']","['14.71', '11.95', '13.54', '9.40']"
40,Hinduja Global,0,10.72,1.72,"['6.20', '4.59', '7.11', '8.69']","['16.11', '11.74', '10.78', '13.20']","['17.28', '14.52', '13.39', '16.98']"
41,Netlink Sol,0,1.81,0.44,"['22,979.00', '-7,879.25', '-1,186.00', '65.02']","['24.14', '-41.21', '-3.07', '0.81']","['24.06', '-43.52', '-3.47', '3.39']"
42,Mastek,370,14.36,2.64,"['42.89', '47.45', '22.67', '17.39']","['17.93', '13.44', '14.16', '12.73']","['22.21', '11.97', '16.98', '10.75']"
43,HOV Services,0,29.22,0.78,"['27.74', '4.16', '--', '13.13']","['2.68', '1.98', '0.03', '0.33']","['3.16', '8.16', '0.11', '0.33']"
44,Compuage Info,-1,5.57,0.54,"['1.44', '1.66', '1.65', '1.64']","['9.30', '15.09', '12.83', '14.25']","['30.37', '43.94', '42.96', '50.04']"
45,Accelya Kale,9,0.00,7.29,"['13.97', '13.97', '22.69', '--']","['17.68', '17.69', '35.46', '53.84']","['22.84', '22.84', '43.49', '80.30']"
46,Ace Soft Export,0,-6.10,0.30,"['-7.57', '-26.88', '-26.88', '-19.99']","['-3.12', '-8.86', '-8.86', '0.15']","['-3.62', '-12.13', '-12.13', '-0.59']"
47,R Systems Intl,102,0.00,3.39,"['18.38', '46.96', '237.54', '89.80']","['19.26', '17.18', '15.80', '8.31']","['20.84', '19.91', '18.74', '12.68']"
48,Dynacons Sys,5,8.03,1.53,"['2.80', '2.13', '2.43', '1.86']","['17.21', '15.43', '16.20', '8.98']","['32.39', '37.86', '37.66', '26.56']"
49,Rolta,7,-0.02,-0.02,"['-0.10', '-0.14', '0.12', '2.73']","['0.00', '0.00', '-158.93', '3.77']","['2.80', '-3.90', '2.19', '8.71']"
50,Objectone Info,0,4.06,0.22,"['17.17', '1.82', '2.55', '-7.77']","['5.38', '1.21', '3.37', '-20.13']","['10.51', '2.37', '4.96', '-16.36']"
51,Sanmit Infra,0,55.37,6.48,"['11.40', '83.33', '4.13', '--']","['10.88', '8.91', '5.93', '25.48']","['11.54', '10.52', '6.75', '6.14']"
52,Eco Recycling,1,24.57,3.46,"['18.95', '2.52', '1.78', '1.14']","['14.08', '4.67', '4.60', '-37.39']","['13.48', '5.04', '4.23', '3.09']"
53,ALLSEC Tech,0,13.75,1.82,"['18.91', '26.31', '85.29', '193.70']","['13.24', '19.70', '7.19', '28.68']","['16.61', '24.18', '18.85', '28.17']"
54,ASM Tech,2,12.94,1.96,"['5.85', '2.11', '13.53', '13.23']","['14.98', '2.46', '13.51', '-1.51']","['23.79', '6.23', '17.88', '-1.43']"
55,Newgen Software,-28,15.48,2.95,"['33.20', '9.68', '16.64', '19.08']","['18.99', '13.24', '20.57', '17.98']","['26.37', '17.74', '26.99', '16.75']"
