,Company Name,PE Ratio,ROE,Net Profit,EPS,Cash Flow,Cash Conversion Cycle
25,Motilal Oswal Financial Services Ltd,9.54,35.0,"['146', '129', '142', '165', '-254', '167', '296', '334']","['10.03', '8.86', '9.67', '11.18', '-17.14', '11.28', '20.28', '22.78']","['-110', '-135', '115', '-119', '55']","['173', '166', '155', '337', '377']"
26,Cholamandalam Financial Holdings Ltd,15.5,16.5,"['190', '152', '155', '204', '40', '289', '239', '213']","['10.10', '8.10', '8.26', '10.85', '2.13', '15.39', '12.73', '11.34']","['-372', '-145', '239', '398', '272']","['2', '0', '-2', '17', '4']"
27,IIFL Finance Ltd,10.9,15.0,"['306', '175', '86', '182', '59', '32', '213', '268']","['9.57', '5.47', '2.69', '5.71', '1.55', '0.83', '5.62', '7.09']","['179', '25', '30', '538', '14']","['198', '177', '73', '41', '58']"
28,Shriram City Union Finance Ltd,10.6,13.5,"['258', '258', '303', '313', '148', '197', '271', '300']","['39.16', '39.17', '45.95', '47.37', '22.46', '29.86', '41.12', '45.46']","['-333', '846', '-1,053', '809', '-594']",[]
29,CreditAccess Grameen Ltd,36.5,4.52,"['76', '96', '101', '108', '23', '64', '78', '-72']","['5.32', '6.67', '7.02', '7.51', '1.58', '4.41', '5.42', '-4.61']","['', '', '', '', '-1']",[]
30,Angel One Ltd,20.7,34.6,"['26', '5', '19', '27', '31', '47', '74', '73']","['', '', '', '', '', '', '9.11', '8.94']","['-51', '91', '-23', '', '166']","['361', '712', '75', '101', '19']"
31,UTI Asset Management Company Ltd,17.1,16.5,"['72', '135', '84', '-25', '101', '119', '140', '134']","['5.64', '10.64', '6.63', '-2.01', '7.99', '9.36', '11.06', '10.56']","['16', '16', '39', '-26', '-5']","['18', '3', '9', '10', '19']"
32,Capri Global Capital Ltd,54.4,10.9,"['49', '38', '39', '50', '35', '40', '61', '49']","['2.79', '2.15', '2.22', '2.83', '2.00', '2.26', '3.48', '2.80']","['-5', '234', '-40', '-29', '-6']","['49', '284', '150', '62', '20']"
33,Manappuram Finance Ltd,6.72,26.5,"['275', '264', '428', '410', '395', '368', '406', '482']","['3.26', '3.14', '5.08', '4.86', '4.67', '4.36', '4.79', '5.70']","['-1', '-12', '46', '46', '4']",[]
34,IDFC Ltd,,-3.92,"['-312', '5', '-408', '-343', '-240', '-26', '-145', '-206']","['-1.96', '0.03', '-2.55', '-2.15', '-1.51', '-0.16', '-0.91', '-1.29']","['-570', '111', '-205', '85', '130']",[]
35,Indiabulls Housing Finance Ltd,9.62,6.97,"['875', '579', '510', '377', '694', '167', '235', '250']","['20.48', '13.54', '11.93', '8.82', '16.22', '3.90', '5.09', '5.42']","['453', '', '-103', '6,565', '-69']",[]
36,Can Fin Homes Ltd,17.7,19.2,"['66', '81', '98', '107', '91', '93', '128', '132']","['4.97', '6.08', '7.33', '8.01', '6.83', '7.00', '9.64', '9.91']","['19', '-23', '-19', '-9', '1']",[]
37,Dhani Services Ltd,,-4.64,"['110', '110', '127', '101', '-334', '12', '4', '-76']","['1.82', '1.79', '2.07', '1.66', '-7.17', '0.24', '0.07', '-1.45']","['66', '-64', '3', '13', '112']","['105', '46', '62', '115', '178']"
38,PNB Housing Finance Ltd,9.70,11.0,"['371', '368', '342', '235', '-263', '260', '312', '223']","['22.16', '21.91', '20.35', '13.98', '-15.64', '15.44', '18.57', '13.28']","['', '60', '-16', '51', '-38']",[]
39,Housing & Urban Development Corporation Ltd,4.82,12.4,"['236', '336', '726', '206', '441', '203', '457', '392']","['1.18', '1.68', '3.63', '1.03', '2.20', '1.02', '2.28', '1.96']","['-265', '-29', '2,051', '338', '-368']",[]
40,Tata Investment Corporation Ltd,36.2,1.38,"['-6', '19', '92', '16', '-36', '18', '106', '28']","['-1.19', '3.67', '18.26', '3.13', '-7.17', '3.59', '20.87', '5.44']","['-101', '-64', '1', '11', '-11']","['0', '3', '1', '0', '0']"
41,JM Financial Ltd,8.38,9.34,"['129', '127', '130', '158', '131', '94', '139', '181']","['1.53', '1.51', '1.54', '1.87', '1.55', '0.98', '1.46', '1.90']","['-37', '-209', '66', '21', '48']","['69', '48', '67', '63', '71']"
42,Home First Finance Company India Ltd,40.2,8.66,"['30', '12', '39', '14', '16', '31', '35', '45']","['', '', '', '', '', '3.58', '4.01', '5.13']","['', '', '', '', '']","['0', '0', '0', '0', '0']"
43,Kama Holdings Ltd,7.30,18.5,"['102', '102', '156', '179', '94', '93', '165', '164']","['157.91', '157.46', '241.42', '276.93', '145.96', '143.48', '255.32', '254.78']","['-2', '1', '-1', '111', '-95']","['', '0', '2', '157', '127']"
44,Edelweiss Financial Services Ltd,7.69,4.18,"['232', '132', '51', '17', '-2,245', '-245', '-48', '-70']","['2.49', '1.41', '0.55', '0.18', '-24.03', '-2.62', '-0.52', '-0.75']","['5', '-1,224', '-176', '', '87']","['32', '946', '41', '27', '61']"
45,JSW Holdings Ltd,33.5,0.67,"['9', '9', '76', '9', '10', '9', '37', '10']","['8.07', '8.48', '68.12', '8.50', '8.65', '7.68', '33.15', '9.19']","['-1', '0', '0', '1', '-0']","['0', '23', '34', '36', '31']"
46,Maharashtra Scooters Ltd,29.5,0.07,"['0.68', '1.69', '68.90', '2.21', '107.14', '1.45', '1.91', '2.64']","['0.59', '1.48', '60.29', '1.93', '93.75', '1.27', '1.67', '2.31']","['-6', '-1', '4', '24', '-17']","['-540', '-167', '2', '113', '-13']"
47,Religare Enterprises Ltd,,"-1,886","['-351', '-86', '-204', '-233', '-410', '-188', '-118', '-113']","['-16.20', '-3.95', '-9.39', '-9.02', '-15.89', '-7.27', '-4.54', '-4.38']","['635', '1,501', '401', '-120', '-169']","['169', '216', '46', '47', '52']"
48,Equitas Holdings Ltd,20.5,16.2,"['42', '70', '41', '78', '15', '50', '101', '236']","['1.23', '2.06', '1.21', '2.30', '0.43', '1.47', '2.96', '6.91']","['-4', '-33', '147', '69', '120']","['0', '0', '0', '0', '0']"
49,Share India Securities Ltd,21.7,34.1,"['5', '6', '7', '10', '17', '13', '14', '18']","['2.21', '2.28', '3.00', '3.17', '5.24', '4.22', '4.34', '5.52']","['11', '2', '0', '26', '18']","['91', '52', '52', '23', '14']"
50,MAS Financial Services Ltd,21.7,13.6,"['42', '41', '40', '48', '34', '37', '34', '36']","['7.61', '7.45', '7.35', '8.84', '6.31', '6.69', '6.26', '6.62']","['23', '31', '46', '48', '16']","['78', '81', '-0', '-0', '-0']"
51,Indostar Capital Finance Ltd,,-6.52,"['74', '47', '49', '0', '-421', '47', '32', '24']","['8.03', '5.10', '5.36', '0.03', '-45.58', '3.83', '2.57', '1.96']","['', '', '-294', '71', '956']","['0', '0', '0', '0', '0']"
52,Paisalo Digital Ltd,44.7,7.73,"['-1', '16', '20', '20', '-2', '15', '22', '22']","['-0.24', '3.69', '4.68', '4.77', '-0.36', '3.56', '5.16', '5.22']","['152', '-108', '-4', '-6', '-52']",[]
53,Authum Investment & Infrastructure Ltd,4.66,45.8,"['-5', '-7', '-2', '0', '-6', '-2', '19', '74']","['-0.13', '-0.17', '-0.06', '0.00', '-0.15', '-0.05', '0.46', '1.83']","['-3', '-0', '-2', '-0', '0']","['-0', '-0', '-53', '356', '127']"
54,IFCI Ltd,,-45.2,"['-80', '-9', '24', '328', '-573', '-302', '-58', '-727']","['-0.47', '-0.06', '0.14', '1.94', '-3.38', '-1.59', '-0.31', '-3.84']","['-435', '475', '-147', '130', '498']","['102', '130', '162', '163', '100']"
55,Bengal & Assam Company Ltd,4.11,13.6,"['133', '119', '173', '68', '95', '-67', '112', '225']","['153.35', '105.76', '153.14', '59.94', '84.09', '-58.92', '98.82', '199.61']","['-2', '2', '12', '-14', '-0']","['25', '122', '35', '41', '29']"
56,IIFL Securities Ltd,8.69,23.8,"['37', '125', '25', '46', '37', '42', '51', '51']","['19.92', '3.93', '0.78', '1.46', '1.17', '1.30', '1.59', '1.58']","['234', '93', '-141', '-62']","['10', '10', '16', '15']"
57,Spandana Sphoorty Financial Ltd,35.7,4.85,"['71', '91', '42', '126', '78', '55', '63', '-30']","['11.91', '15.19', '6.62', '19.65', '12.05', '8.51', '9.79', '-4.72']","['504', '-582', '322', '-342', '-97']","['0', '0', '0', '0', '0']"
