,Company Name,PE Ratio,ROE,Net Profit,EPS,Cash Flow,Cash Conversion Cycle
99,The Investment Trust of India Ltd,121,2.48,"['-0.50', '-3.56', '0.97', '4.04', '-7.39', '1.56', '4.54', '5.90']","['-0.10', '-0.70', '0.19', '0.79', '-1.45', '0.31', '0.89', '1.15']","['12', '-3', '-6', '2', '-3']","['343', '353', '291', '101', '431']"
100,NBI Industrial Finance Company Ltd,106,0.08,"['1.79', '0.06', '3.46', '0.13', '9.32', '0.97', '0.21', '0.13']","['7.29', '0.24', '14.08', '0.53', '37.94', '3.95', '0.85', '0.53']","['0.11', '0.00', '', '-0.01', '1.51']","['0.00', '0.00', '0.00', '0.00', '0.00']"
101,Crest Ventures Ltd,30.8,0.52,"['10.22', '9.35', '14.89', '14.61', '6.46', '2.76', '-3.05', '0.76']","['3.59', '3.29', '5.23', '5.14', '2.27', '0.97', '-1.07', '0.27']","['10', '8', '-4', '2', '-3']","['224', '166', '131', '361', '406']"
102,Muthoot Capital Services Ltd,,9.65,"['22.63', '13.58', '14.05', '18.95', '13.90', '12.91', '15.77', '13.73']","['13.76', '8.26', '8.54', '11.52', '8.45', '7.85', '9.59', '8.35']","['0', '1', '7', '-9', '7']",[]
103,Vaarad Ventures Ltd,,-1.28,"['-0.45', '-0.21', '0.15', '-0.10', '0.06', '-0.12', '-0.04', '-0.05']","['-0.02', '-0.01', '0.01', '-0.00', '0.00', '-0.00', '-0.00', '-0.00']","['1.89', '-1.69', '-0.06', '', '']","['-0.84', '8.82', '1.27', '2.89', '-7.04']"
104,Indian Infotech and Software Ltd,,-4.83,"['2.14', '0.14', '0.09', '0.14', '-5.36', '0.29', '0.34', '0.33']","['0.02', '0.00', '0.00', '0.00', '-0.05', '0.00', '0.00', '0.00']","['0.05', '1.75', '-1.22', '-0.18', '-0.13']","['0.00', '0.00', '0.00', '0.00', '26.31']"
105,Oswal Agro Mills Ltd,19.5,2.98,"['7.87', '8.23', '8.25', '7.19', '8.71', '7.16', '7.23', '1.99']","['0.59', '0.61', '0.61', '0.54', '0.65', '0.53', '0.54', '0.15']","['-102', '100', '-93', '29', '-28']","['603', '0', '0', '346', '202']"
106,Dhunseri Investments Ltd,2.02,9.14,"['-12', '9', '55', '-18', '-42', '13', '42', '44']","['-20.21', '14.20', '90.81', '-30.23', '-69.21', '21.17', '68.31', '72.30']","['1', '26', '95', '-40', '12']","['0', '56', '44', '-5', '-111']"
107,Jindal Photo Ltd,0.72,-5.59,"['-0.41', '-0.99', '-1.02', '-0.88', '-0.50', '-1.11', '-0.97', '-0.94']","['-0.40', '-0.96', '-0.99', '-0.85', '-0.49', '-1.08', '-0.94', '-0.91']","['-29', '-6', '156', '-93', '-34']","['72', '67', '-357', '-281', '-582']"
108,Master Trust Ltd,7.10,14.6,"['5', '4', '2', '4', '3', '6', '6', '9']","['2.32', '1.73', '1.08', '1.66', '1.21', '2.55', '2.96', '3.97']","['4', '37', '-20', '-36', '17']","['355', '377', '486', '468', '384']"
109,Kiran Vyapar Ltd,2.55,8.42,"['4', '1', '7', '-0', '-15', '14', '19', '16']","['1.37', '0.24', '2.39', '-0.12', '-5.51', '5.12', '6.96', '5.75']","['-32', '7', '-7', '18', '-18']","['572', '581', '906', '323', '440']"
110,Saraswati Commercial (India) Ltd,6.15,9.89,"['-1', '-2', '-2', '-0', '-6', '4', '14', '2']","['-7.89', '-16.98', '-17.18', '-0.90', '-60.85', '38.67', '143.77', '21.28']","['0', '7', '-7', '0', '0']","['0', '0', '0', '0', '370']"
111,SIL Investments Ltd,18.4,2.02,"['3.63', '7.35', '10.99', '1.68', '15.17', '4.52', '3.53', '14.16']","['3.43', '6.94', '10.37', '1.59', '14.32', '4.27', '3.33', '13.36']","['1', '1', '-3', '-0', '-0']","['1', '0', '1', '3', '0']"
112,Reliance Capital Ltd,,,"['-2,278', '1,233', '-55', '-135', '-2,123', '-1,124', '-2,598', '-4,018']","['-90.14', '48.79', '-2.18', '-5.34', '-84.01', '-44.48', '-102.81', '-159.00']","['-1,276', '652', '-532', '454', '982']","['12', '17', '24', '41', '46']"
113,Inventure Growth & Securities Ltd,17.7,7.07,"['-1.93', '1.00', '-3.97', '-2.36', '5.38', '-1.53', '4.16', '1.80']","['-0.02', '0.01', '-0.05', '-0.03', '0.06', '-0.02', '0.05', '0.02']","['10', '-9', '-0', '13', '-15']","['391', '641', '796', '948', '1,022']"
114,Swiss Military Consumer Goods Ltd,218,0.74,"['-0.15', '-0.31', '-0.24', '-0.09', '0.44', '-0.07', '-0.07', '-0.07']","['-0.02', '-0.03', '-0.02', '-0.01', '0.04', '-0.01', '-0.01', '-0.01']","['0.56', '0.00', '-5.15', '-0.48', '-0.40']","['0.00', '1,877.14', '145.34', '87.97', '336.24']"
115,CSL Finance Ltd,10.5,11.2,"['5.95', '6.53', '7.25', '6.87', '1.82', '7.02', '6.86', '4.86']","['3.22', '3.53', '3.92', '3.71', '0.98', '3.79', '3.71', '2.63']","['-1', '12', '0', '1', '1']",[]
116,Jindal Poly Investment & Finance Company Ltd,1.11,,"['-108.30', '-10.82', '-4.81', '-10.40', '-67.86', '-2.76', '-3.80', '-2.88']","['-103.03', '-10.29', '-4.58', '-9.89', '-64.56', '-2.63', '-3.61', '-2.74']","['', '1', '-1', '-0', '19']","['0', '0', '0', '0', '-179']"
117,KIFS Financial Services Ltd,61.9,11.2,"['0.83', '1.05', '0.84', '1.29', '0.76', '0.99', '0.56', '0.40']","['0.77', '0.97', '0.78', '1.19', '0.70', '0.92', '0.52', '0.37']","['1.59', '-1.14', '0.31', '-0.10', '0.43']","['-0.00', '-0.00', '-0.00', '-0.00', '-0.00']"
118,Prime Securities Ltd,18.2,16.0,"['3.15', '1.87', '7.02', '-0.44', '-0.92', '0.93', '2.85', '0.60']","['1.19', '0.71', '2.65', '-0.17', '-0.35', '0.35', '1.07', '0.23']","['-14', '16', '2', '1', '-21']","['585', '246', '304', '20,629', '-1,278']"
119,Indo Thai Securities Ltd,29.2,20.2,"['-0.57', '-0.49', '0.18', '0.61', '-11.15', '1.09', '3.73', '5.00']","['-0.57', '-0.49', '0.18', '0.61', '-11.15', '1.09', '3.73', '5.00']","['11', '5', '-6', '-5', '-1']","['-109', '163', '-18', '137', '125']"
120,Apollo Finvest (India) Ltd,35.6,15.1,"['0.45', '1.55', '2.43', '1.83', '0.83', '1.02', '0.38', '0.86']","['1.21', '4.15', '6.51', '4.90', '2.22', '2.73', '1.02', '2.30']","['0.04', '-0.11', '-0.04', '0.00', '0.02']","['83.16', '135.68', '73.00', '95.22', '76.50']"
121,Almondz Global Securities Ltd,12.4,12.0,"['1.90', '1.98', '2.12', '2.71', '-2.45', '3.06', '4.56', '4.47']","['0.73', '0.76', '0.82', '1.05', '-0.95', '1.18', '1.76', '1.73']","['-9', '14', '3', '-16', '-8']","['60', '73', '65', '66', '99']"
122,SREI Infrastructure Finance Ltd,,"-1,740","['145', '43', '55', '60', '-69', '23', '5', '-3,813']","['2.88', '0.85', '1.10', '1.19', '-1.38', '0.46', '0.09', '-75.78']","['-192', '-21', '139', '-55', '94']","['41', '52', '52', '22', '24']"
123,A R C Finance Ltd,294,0.35,"['1.38', '0.10', '0.45', '-0.19', '-0.11', '0.08', '0.55', '-0.44']","['0.27', '0.02', '0.09', '-0.04', '-0.02', '0.02', '0.11', '-0.09']","['', '0.01', '-0.02', '0.01', '0.15']","['4.68', '0.00', '0.00', '2,920.00', '9.75']"
124,PMC Fincorp Ltd,205,2.57,"['-1.32', '0.87', '-0.16', '0.69', '0.04', '0.51', '0.39', '2.40']","['-0.03', '0.02', '-0.00', '0.01', '0.00', '0.01', '0.01', '0.05']","['-0.82', '0.63', '0.22', '-1.22', '0.18']","['-243.87', '94.63', '82.84', '65.35', '123.81']"
125,Wealth First Portfolio Managers Ltd,24.1,31.7,"['1.38', '-0.09', '6.51', '3.90', '4.93', '-2.55', '7.20', '4.05']","['1.29', '-0.08', '6.08', '3.66', '4.63', '-2.39', '6.76', '3.80']","['', '0', '1', '-1', '2']","['12', '5', '32', '53', '16']"
126,Moneyboxx Finance Ltd,,-11.6,"['0.69', '0.03', '-0.86', '-0.96', '-1.75', '-0.88', '-0.49', '-1.10']","['0.38', '0.02', '-0.47', '-0.52', '-0.87', '-0.44', '-0.24', '-0.55']","['-0.09', '0.13', '0.00', '0.00', '-0.05']","['45.77', '276.92', '46.93', '262.34', '276.36']"
127,BNK Capital Markets Ltd,19.1,4.17,"['7.32', '0.15', '-0.11', '0.93', '7.80', '1.11', '4.53', '0.70']","['7.32', '0.15', '-0.11', '0.93', '7.80', '1.11', '4.53', '0.70']","['-4', '-1', '4', '0', '-4']","['0', '5', '8', '13', '1']"
128,A.K.Capital Services Ltd,3.53,11.5,"['14', '19', '10', '18', '4', '14', '16', '31']","['20.45', '28.18', '15.88', '26.86', '6.36', '20.53', '24.58', '47.52']","['-2', '-2', '2', '37', '-31']","['17', '152', '136', '59', '57']"
129,STEL Holdings Ltd,18.5,1.41,"['4.48', '0.11', '4.64', '0.24', '10.17', '0.15', '0.00', '-0.11']","['2.43', '0.06', '2.51', '0.13', '5.51', '0.08', '0.00', '-0.06']","['0', '-0', '2', '1', '1']","['0', '0', '0', '0', '0']"
130,IL&FS Investment Managers Ltd,42.7,3.64,"['10.51', '-2.17', '-15.16', '-1.10', '4.57', '2.21', '1.08', '0.22']","['0.33', '-0.07', '-0.48', '-0.04', '0.15', '0.07', '0.03', '0.01']","['15.59', '33.30', '7.69', '-19.06', '-14.54']","['57.05', '41.27', '68.27', '118.99', '199.87']"
131,Industrial & Prudential Investment Company Ltd,6.87,6.29,"['0.35', '10.52', '9.86', '2.04', '1.99', '5.60', '1.10', '12.11']","['2.01', '60.28', '56.49', '11.69', '11.40', '32.09', '6.30', '69.39']","['-0', '0', '0', '3', '-3']","['0', '0', '0', '0', '0']"
132,BFL Asset Finvest Ltd,331,0.09,"['-0.43', '-0.40', '-4.17', '1.54', '1.66', '0.06', '0.09', '0.38']","['-0.42', '-0.39', '-4.09', '1.51', '1.63', '0.06', '0.09', '0.37']","['0.03', '-0.07', '0.06', '-0.03', '0.05']","['24.74', '5,475.00', '1,951.74', '400.71', '1,219.86']"
133,Bombay Oxygen Investments Ltd,5.25,22.0,"['6.16', '1.46', '-0.24', '3.91', '-24.85', '10.16', '6.55', '31.69']","['410.67', '97.33', '-16.00', '260.67', '-1,656.67', '677.33', '436.67', '2,112.67']","['-0', '-0', '-0', '1', '-0']","['-38', '59', '61', '70', '98']"
134,U. Y. Fincorp Ltd,,4.00,"['-4', '4', '3', '-0', '-4', '3', '2', '6']","['-0.20', '0.18', '0.17', '-0.02', '-0.19', '0.15', '0.13', '0.34']","['-0', '0', '2', '-2', '3']","['33', '324', '59', '25', '454']"
135,Mangal Credit & Fincorp Ltd,34.0,5.87,"['2.13', '1.22', '1.97', '1.19', '6.39', '1.55', '1.48', '1.29']","['1.10', '0.63', '1.02', '0.62', '3.31', '0.80', '0.77', '0.67']","['-2.38', '-0.24', '0.00', '0.85', '-0.81']","['-48.36', '62.26', '-112.31', '-74.08', '-167.54']"
136,IKAB Securities & Investment Ltd,43.3,27.8,"['-0.06', '0.14', '0.20', '0.03', '-1.73', '0.11', '2.46', '-0.04']","['-0.18', '0.41', '0.59', '0.09', '-5.06', '0.32', '7.20', '-0.12']","['0.00', '3.16', '-1.14', '-0.64', '-1.67']","['15.99', '8.97', '113.44', '143.12', '136.96']"
137,Reliance Home Finance Ltd,,-215,"['-110', '49', '-111', '-74', '-238', '-161', '-574', '-340']","['-2.27', '1.00', '-2.29', '-1.52', '-4.91', '-3.33', '-11.84', '-7.00']","['', '', '41', '21', '130']","['2', '1', '0', '-0', '-0']"
138,Banas Finance Ltd,2.05,12.9,"['-1', '-0', '-0', '2', '-2', '-1', '1', '9']","['-1.16', '-0.20', '-0.32', '1.73', '-1.51', '-0.49', '0.34', '3.57']","['0', '0', '0', '0', '-0']","['5,840', '62', '85', '587', '520']"
139,Capital Trust Ltd,,-16.9,"['15.09', '-10.76', '11.65', '5.93', '-6.30', '0.91', '-0.90', '0.31']","['9.22', '-6.58', '7.12', '3.62', '-3.85', '0.56', '-0.55', '0.19']","['-2', '3', '-2', '0', '0']","['18', '15', '14', '21', '16']"
140,Shardul Securities Ltd,24.0,4.83,"['0.56', '-2.24', '6.68', '2.54', '-13.33', '5.88', '1.71', '8.97']","['0.32', '-1.28', '3.82', '1.45', '-7.62', '3.36', '0.98', '5.13']","['-7.72', '4.88', '-2.11', '-4.60', '5.37']","['114.04', '73.67', '52.47', '90.20', '10.81']"
141,Avonmore Capital & Management Services Ltd,5.23,13.4,"['2.46', '4.80', '5.43', '3.31', '2.68', '6.66', '4.25', '3.72']","['1.01', '1.98', '2.24', '1.36', '1.10', '2.74', '1.75', '1.53']","['-21', '0', '-0', '-0', '0']","['55', '86', '0', '0', '0']"
142,SRG Housing Finance Ltd,9.28,22.4,"['2.07', '4.16', '6.15', '5.12', '2.54', '3.53', '5.98', '5.70']","['1.59', '3.20', '4.73', '3.94', '1.95', '2.72', '4.60', '4.38']","['0', '0', '0', '-0', '1']",[]
143,Coral India Finance & Housing Ltd,9.88,10.6,"['1.96', '3.43', '2.47', '3.47', '-1.36', '3.23', '2.60', '3.36']","['0.39', '0.69', '0.50', '0.70', '-0.27', '0.80', '0.65', '0.83']","['-0', '1', '-0', '15', '-9']","['0', '1,367', '354', '685', '2,464']"
144,Star Housing Finance Ltd,"1,014",2.94,"['1.51', '1.28', '1.31', '0.88', '1.57', '0.95', '0.54', '0.82']","['1.25', '1.04', '1.06', '0.56', '1.00', '0.61', '0.34', '0.52']","['-0.66', '-1.47', '0.03', '-0.03', '0.80']","['0.00', '38.42', '8.30', '19.73', '7.99']"
145,Maha Rashtra Apex Corporation Ltd,121,24.5,"['5.28', '4.19', '26.80', '-15.24', '-2.05', '1.11', '28.50', '3.32']","['3.73', '2.96', '18.94', '-10.77', '-1.45', '0.78', '20.14', '2.35']","['-0.04', '0.34', '0.02', '6.71', '-1.53']","['328.25', '3,418.37', '1,750.13', '1,309.47', '2,131.13']"
146,Baid Leasing & Finance Co Ltd,22.3,5.63,"['1.02', '2.15', '2.32', '1.93', '1.29', '1.63', '2.57', '1.56']","['1.01', '2.13', '1.93', '1.61', '1.07', '1.36', '2.14', '1.30']","['0.00', '0.02', '-0.08', '0.24', '0.61']","['3,093.22', '146.40', '1,777.60', '723.54', '203.61']"
147,Paul Merchants Ltd,3.81,8.11,"['10', '6', '5', '7', '7', '7', '7', '10']","['95.43', '60.12', '53.11', '72.08', '71.21', '68.29', '71.60', '93.48']","['11', '2', '14', '-34', '-18']","['2', '2', '2', '1', '0']"
148,McDowell Holdings Ltd,,-0.17,"['3.39', '0.67', '2.13', '-6.87', '-2.10', '-0.02', '-0.84', '0.41']","['2.42', '0.48', '1.52', '-4.91', '-1.50', '-0.01', '-0.60', '0.29']","['0.45', '-1.19', '1.05', '0.03', '-1.29']","['0.00', '0.00', '31.98', '12.33', '40.59']"
149,Gujarat Credit Corporation Ltd,,-1.52,"['0.24', '-0.52', '-0.17', '-0.24', '1.01', '-0.15', '-0.02', '0.18']","['0.10', '-0.21', '-0.07', '-0.10', '0.40', '-0.06', '-0.01', '0.07']","['0.00', '-0.03', '0.00', '0.00', '0.00']","['', '0.00', '0.00', '', '']"
150,Industrial Investment Trust Ltd,,-13.3,"['-49.53', '7.18', '-2.49', '-7.77', '-36.48', '12.52', '-15.24', '5.23']","['-21.97', '3.18', '-1.10', '-3.45', '-16.18', '5.55', '-6.76', '2.32']","['14', '-8', '5', '21', '-13']","['16', '5,245', '1,507', '88', '84']"
151,Sakthi Finance Ltd,15.2,4.89,"['2.69', '1.13', '2.09', '3.08', '3.48', '2.53', '2.40', '2.56']","['0.54', '0.23', '0.42', '0.62', '0.70', '0.39', '0.37', '0.40']","['9', '2', '-9', '8', '-1']","['0', '8', '11', '11', '2']"
152,ISF Ltd,203,2.54,"['0.01', '-0.60', '0.28', '0.11', '0.23', '-0.03', '0.05', '0.12']","['0.00', '-0.06', '0.03', '0.01', '0.02', '-0.00', '0.01', '0.01']","['-0.83', '-0.16', '0.00', '-0.05', '-0.06']","['187.96', '186.38', '197.97', '202.78', '217.36']"
153,GCM Securities Ltd,78.0,17.8,"['-0.16', '2.98', '-8.07']","['-0.01', '0.16', '-0.42']","['1.27', '0.21', '-0.58', '10.00', '26.88']","['17,932.31', '8,638.33', '15,460.00', '628.89', '83.35']"
154,LKP Finance Ltd,2.53,30.0,"['-0.77', '-6.00', '9.11', '2.56', '-28.40', '26.57', '5.19', '20.59']","['-0.61', '-4.77', '7.25', '2.04', '-22.60', '21.14', '4.13', '16.38']","['-30', '24', '38', '0', '-4']","['127', '169', '464', '248', '360']"
155,RSD Finance Ltd,9.18,4.70,"['1.00', '1.13', '2.79', '2.10', '1.43', '0.85', '1.50', '1.87']","['0.78', '0.88', '2.16', '1.63', '1.10', '0.66', '1.16', '1.44']","['0', '1', '5', '-3', '-2']","['-136', '-7', '-4', '-4', '22']"
156,Smartlink Holdings Ltd,17.0,5.51,"['1.20', '-1.25', '-3.69', '-4.63', '-4.40', '1.88', '2.02', '3.24']","['0.71', '-0.74', '-2.18', '-3.48', '-3.31', '1.41', '1.52', '2.44']","['-2.04', '6.80', '-5.71', '7.96', '0.73']","['84.53', '62.64', '51.12', '184.77', '248.39']"
157,Naga Dhunseri Group Ltd,1.57,13.3,"['-1', '3', '14', '-2', '-20', '6', '14', '17']","['-13.10', '29.10', '139.80', '-24.20', '-199.10', '57.10', '142.20', '165.70']","['-1', '1', '3', '-4', '9']","['342', '133', '114', '0', '0']"
158,APM Finvest Ltd,8.24,24.6,"['1.91', '0.38', '-0.64', '1.91', '-7.76', '5.90', '3.35', '6.91']","['', '0.18', '-0.30', '0.88', '-3.59', '2.73', '1.55', '3.20']","['2', '-2', '3', '-3', '-0']","['-0', '-0', '9', '119', '2']"
159,Shalibhadra Finance Ltd,27.6,8.07,"['1.55', '1.75', '1.72', '1.44', '0.91', '1.07', '1.15', '0.82']","['3.10', '3.50', '3.44', '2.88', '1.82', '2.14', '2.30', '1.64']","['-0.02', '0.12', '0.03', '0.05', '0.06']","['0.79', '0.00', '0.00', '0.00', '0.00']"
160,Startech Finance Ltd,13.2,27.8,"['0.16', '0.09', '0.15', '2.79', '0.86', '0.94', '29.63', '2.25']","['0.16', '0.09', '0.15', '2.82', '0.87', '0.95', '29.90', '2.27']","['5.21', '-0.65', '-4.26', '0.82', '-0.48']","['0.00', '0.00', '0.00', '0.00', '0.00']"
161,Saumya Consultants Ltd,28.9,16.3,"['1.89', '-0.30', '0.05', '-0.47', '-3.46', '4.45', '3.29', '4.22']","['2.74', '-0.43', '0.07', '-0.68', '-5.01', '6.44', '4.76', '6.11']","['-0.03', '0.16', '', '-0.14', '0.01']","['625.99', '224.60', '1,444.47', '426.00', '2,982.12']"
162,LKP Securities Ltd,17.6,9.70,"['6.90', '-1.16', '1.13', '1.03', '0.64', '1.37', '4.47', '1.86']","['0.93', '-0.16', '0.15', '0.14', '0.09', '0.19', '0.60', '0.25']","['-1.41', '5.09', '5.23', '3.34', '11.66']","['665.32', '325.94', '277.28', '196.09', '116.25']"
163,Vibrant Global Capital Ltd,2.90,55.6,"['-3.10', '-5.14', '-3.89', '-12.29', '3.66', '2.70', '12.70', '15.92']","['-1.35', '-2.24', '-1.70', '-5.37', '1.60', '1.18', '5.54', '6.95']","['4', '1', '4', '-1', '1']","['37', '38', '-11', '-7', '13']"
164,Pan India Corporation Ltd,,-7.30,"['-0.07', '-0.02', '0.11', '-0.03', '0.01', '-0.01', '-0.04', '-0.05']","['-0.00', '-0.00', '0.01', '-0.00', '0.00', '-0.00', '-0.00', '-0.00']","['0.07', '-0.22', '0.00', '0.00', '0.01']","['6,076.18', '301.52', '0.00', '', '0.00']"
165,BLB Ltd,12.0,1.45,"['-3.12', '-0.41', '-8.84', '0.76', '0.45', '0.14', '0.51', '-0.46']","['-0.59', '-0.08', '-1.67', '0.14', '0.09', '0.03', '0.10', '-0.09']","['17', '-50', '-24', '5', '2']","['6', '7', '32', '59', '40']"
166,Keynote Financial Services Ltd,6.23,14.2,"['1.67', '-0.81', '-1.89', '1.20', '-2.72', '3.23', '3.17', '1.08']","['2.38', '-1.15', '-2.69', '1.71', '-3.88', '4.60', '4.52', '1.54']","['-14', '-7', '-18', '24', '-4']","['149', '74', '249', '108', '142']"
167,Welspun Investments & Commercials Ltd,45.3,0.80,"['-0.05', '-0.04', '0.93', '-0.03', '6.48', '0.65', '0.17', '0.01']","['-0.14', '-0.11', '2.54', '-0.08', '17.73', '1.78', '0.47', '0.03']","['0.63', '14.07', '-9.68', '2.02', '-6.14']","['0.00', '0.00', '0.00', '0.00', '0.00']"
168,Biogen Pharmachem Industries Ltd,122,-2.91,"['0.01', '-0.01', '-0.01', '-0.01', '-0.09', '0.00', '0.00', '-2.22']","['0.00', '-0.00', '-0.00', '-0.00', '-0.00', '0.00', '0.00', '-0.03']","['-0.01', '0.02', '0.06', '0.00', '1.39']","['1,431.14', '625.71', '178,758.75', '', '']"
169,Flomic Global Logistics Ltd,25.8,11.6,"['0.09', '-0.25', '0.63', '-0.27', '-0.16', '0.86', '0.85', '1.68']","['0.12', '-0.35', '0.88', '-0.38', '-0.22', '1.19', '1.18', '2.33']","['-0', '0', '1', '0', '0']","['', '0', '0', '0', '0']"
170,Shriram Asset Management Co Ltd,255,-0.92,"['-0.22', '-0.74', '-0.57', '-0.67', '-0.75', '-0.07', '-0.36', '-0.36']","['-0.37', '-1.23', '-0.95', '-1.12', '-1.25', '-0.12', '-0.60', '-0.60']","['3.11', '-1.66', '0.61', '-0.50', '-1.43']","['0.00', '0.00', '0.00', '0.00', '0.00']"
171,Motor & General Finance Ltd,143,-2.37,"['-3.66', '-0.37', '-0.51', '-1.19', '-1.42', '-1.73', '-1.85', '-0.94']","['-0.95', '-0.10', '-0.13', '-0.31', '-0.37', '-0.45', '-0.48', '-0.24']","['-0.57', '0.82', '-1.16', '0.63', '0.00']","['5.46', '33.47', '69.83', '126.36', '2.25']"
172,Ganges Securities Ltd,13.8,3.58,"['-1.68', '0.78', '6.24', '1.87', '-1.74', '1.24', '10.05', '1.85']","['-1.68', '0.78', '6.24', '1.87', '-1.74', '1.24', '10.05', '1.85']","['-0.04', '16.44', '3.95', '0.22', '9.45']","['', '12.46', '14.83', '18.65', '15.35']"
173,Ausom Enterprise Ltd,45.6,14.8,"['8.85', '1.68', '8.21', '8.97', '-1.35', '5.64', '4.15', '8.19']","['6.50', '1.23', '6.03', '6.58', '-0.99', '4.14', '3.05', '6.01']","['2.98', '-1.93', '3.15', '1.16', '-5.30']","['4.94', '-331.39', '1.29', '-167.40', '17.54']"
174,Palash Securities Ltd,,-5.84,"['0.40', '0.24', '1.19', '-1.67', '-1.70', '-2.12', '0.64', '-2.29']","['0.40', '0.24', '1.19', '-1.67', '-1.70', '-2.12', '0.64', '-2.29']","['-0', '3', '1', '9', '-6']","['', '180', '225', '213', '240']"
175,Gujarat State Financial Corporation,,,"['-28', '-27', '-29', '-31', '-31', '-31', '-30', '-32']","['-3.18', '-2.98', '-3.30', '-3.42', '-3.48', '-3.47', '-3.36', '-3.63']","['7', '10', '17', '30', '5']",[]
176,Available Finance Ltd,0.53,1.32,"['-0', '21', '9', '19', '0', '9', '12', '27']","['-0.01', '20.48', '9.03', '18.67', '0.23', '8.56', '11.71', '26.72']","['-0', '-0', '0', '0', '-0']","['0', '0', '0', '0', '0']"
177,NCL Research and Financial Services Ltd,,0.02,"['0.23', '0.64', '-0.61', '-0.12', '0.12', '0.20', '0.09', '0.18']","['0.00', '0.01', '-0.01', '-0.00', '0.00', '0.00', '0.00', '0.00']","['0.11', '0.08', '-0.07', '-0.06', '0.33']","['269.02', '160.09', '435.33', '984.27', '-58.86']"
178,SPS Finquest Ltd,12.2,25.3,"['-1.29', '18.00', '3.13']","['-1.28', '17.76', '3.09']","['0.01', '4.64', '-4.30', '9.87', '-1.34']","['0.00', '0.00', '0.00', '0.00', '0.00']"
179,Yamini Investment Company Ltd,224,0.28,"['-0.07', '0.06', '0.19', '-0.18', '0.11', '-0.01', '0.08', '0.08']","['-0.00', '0.00', '0.00', '-0.00', '0.00', '-0.00', '0.00', '0.00']","['', '', '0.00', '0.10', '-0.09']","['11,315.00', '11,680.00', '331.05', '14.75', '-39.11']"
180,India Finsec Ltd,24.8,6.77,"['1.97', '0.39', '0.19', '0.68', '0.52', '0.71', '1.06', '0.33']","['0.79', '0.16', '0.08', '0.27', '0.21', '0.28', '0.42', '0.13']","['-1.24', '10.06', '0.12', '-1.18', '-6.25']","['117.10', '207.50', '131.48', '750.51', '78.12']"
181,Mukesh Babu Financial Services Ltd,54.1,9.33,"['0.85', '1.80', '1.95', '11.52', '-8.45', '1.06', '7.68', '1.37']","['1.22', '2.58', '2.80', '16.53', '-12.12', '1.52', '11.02', '1.97']","['-0.38', '-0.34', '0.10', '0.87', '-1.02']","['82.12', '57.43', '51.81', '41.19', '27.45']"
182,Apoorva Leasing Finance & Investment Co Ltd,16.7,2.38,"['0.82', '1.51', '0.97', '0.08', '0.79', '0.16', '1.87', '0.54']","['0.41', '0.76', '0.49', '0.04', '0.40', '0.08', '0.94', '0.27']","['-0.00', '-0.09', '-0.20', '0.30', '-0.27']","['2,920.00', '3,910.71', '-0.00', '-0.00', '169.57']"
183,IndiaNivesh Ltd,15.2,,"['5.99', '1.55', '-11.84', '3.15', '-80.16', '-8.07', '-7.17', '-5.73']","['1.58', '0.41', '-3.14', '0.83', '-21.23', '-2.14', '-1.90', '-1.52']","['-21.43', '9.87', '2.01', '17.68', '17.57']","['807.27', '-13,920.61', '750.21', '-1,875.90', '-653.55']"
184,Times Guaranty Ltd,14.9,17.3,"['0.26', '-0.03', '0.99', '0.42', '-0.07', '1.46', '-0.02', '0.65']","['0.29', '-0.03', '1.10', '0.47', '-0.08', '1.62', '-0.02', '0.72']","['0.08', '-0.04', '-0.03', '0.00', '0.05']","['0.00', '0.00', '0.00', '0.00', '0.00']"
185,Capital Trade Links Ltd,162,6.61,"['0.55', '0.40', '0.33', '0.41', '0.02', '0.26', '0.46', '0.65']","['0.11', '0.08', '0.06', '0.08', '0.00', '0.05', '0.09', '0.12']","['', '', '-0.11', '-0.14', '0.49']","['21,057.18', '21,283.79', '538.58', '0.00', '51.41']"
186,Shree Worstex Ltd,45.5,9.93,"['-0.16', '-0.09', '-0.04', '-0.03', '0.15', '0.09', '0.22', '0.04']","['-0.51', '-0.29', '-0.13', '-0.10', '0.48', '0.29', '0.70', '0.13']","['', '', '', '', '']","['0.00', '0.00', '0.00', '0.00', '0.00']"
187,Inditrade Capital Ltd,20.7,4.53,"['3.71', '2.33', '2.44', '2.76', '1.81', '1.62', '2.13', '1.76']","['1.59', '1.00', '1.04', '1.18', '0.78', '0.69', '0.91', '0.75']","['9', '-24', '-8', '-9', '4']","['95', '38', '50', '74', '166']"
188,Upsurge Investment & Finance Ltd,8.30,37.3,"['0.61', '0.95', '-1.38', '1.07', '-4.70', '1.62', '2.55', '2.70']","['0.40', '0.63', '-0.91', '0.71', '-3.10', '1.07', '1.68', '1.78']","['0.74', '6.75', '-1.81', '-2.19', '0.12']","['108.39', '95.81', '266.81', '122.64', '330.98']"
189,Stampede Capital Ltd,,-68.0,"['-12.23', '-1.15', '-1.45', '-4.76', '-0.91', '-0.24', '-1.91', '-3.06']","['-0.43', '-0.04', '-0.05', '-0.17', '-0.03', '-0.01', '-0.07', '-0.11']","['-0.38', '0.87', '-0.71', '-0.28', '0.07']","['-60.31', '-0.00', '94.31', '-0.00', '-0.00']"
