,Company Name,PE Ratio,ROE,Net Profit,EPS,Cash Flow,Cash Conversion Cycle
141,PCS Technology Ltd,173,0.99,"['-1.90', '0.32', '-3.27', '-1.38', '-0.95', '0.20', '-0.10', '0.67']","['-0.91', '0.15', '-1.56', '-0.66', '-0.45', '0.10', '-0.05', '0.32']","['-1.17', '-0.40', '-0.26', '-6.04', '-0.19']","['144.92', '144.01', '58.44', '92.99', '183.76']"
142,Continental Chemicals Ltd,149,3.83,"['0.28', '0.03', '0.03', '-0.01', '0.01', '0.01', '0.03', '0.00']","['', '', '', '-0.04', '0.04', '0.04', '0.13', '0.00']","['0.01', '-0.01', '0.00', '-0.34', '0.31']","['1,946.67', '188.26', '477.31', '0.00', '0.00']"
143,Spacenet Enterprises India Ltd,,,"['0.08', '-0.11', '-0.04', '0.01', '-5.05', '-0.24', '-0.30', '0.10']","['0.02', '-0.02', '-0.01', '0.00', '-1.03', '-0.05', '-0.06', '0.02']","['', '0.15', '-0.20', '0.11', '-0.10']","['', '261.23', '173.45', '10.53', '73.65']"
144,USG Tech Solutions Ltd,,-12.4,"['0.20', '-0.23', '-0.18', '-0.20', '-0.73', '-0.37', '-1.27', '0.33']","['0.05', '-0.06', '-0.05', '-0.05', '-0.19', '-0.09', '-0.32', '0.08']","['-0.08', '-0.08', '-1.24', '-0.75', '-0.08']","['1,889.50', '765.34', '3,492.85', '3,540.97', '745.39']"
145,7Seas Entertainment Ltd,15.4,,"['-10.12', '-0.14', '-0.16', '-0.24', '-1.02', '-0.16', '-0.17', '-0.17']","['-9.11', '-0.13', '-0.14', '-0.22', '-0.92', '-0.14', '-0.15', '-0.15']","['-0.49', '0.89', '-0.48', '-0.41', '0.00']","['92.72', '132.46', '119.01', '355.82', '1,993.79']"
146,ERP Soft Systems Ltd,218,1.68,"['0.01', '0.07', '0.06', '0.04', '-0.05', '0.06', '0.15', '0.11']","['0.03', '0.18', '0.15', '0.10', '-0.13', '0.15', '0.38', '0.28']","['', '-0.23', '0.07', '0.22', '-0.39']","['0.00', '394.11', '373.09', '20.94', '40.05']"
147,Quadpro ITeS Ltd,41.5,29.3,"['0.02', '0.27']","['0.10', '0.11']","['-0.30', '0.00', '0.21']","['29.85', '43.02', '67.71']"
148,Platinumone Business Services Ltd,25.9,17.9,['1.14'],['7.20'],"['0.69', '-1.20', '0.07']","['86.63', '109.68', '146.62']"
149,Integra Telecommunication & Software Ltd,22.0,14.6,"['-0.05', '-0.07', '-0.05', '-0.08', '0.01', '-0.01', '-0.03', '0.70']","['-0.05', '-0.07', '-0.05', '-0.08', '0.01', '-0.01', '-0.03', '0.66']","['', '-0.08', '0.02', '0.15', '-0.07']","['31.38', '10.02', '33.52', '223.46', '300.92']"
150,Bartronics India Ltd,,-40.7,"['-3', '-11', '-13', '-13', '-13', '-13', '-13', '-13']","['-0.78', '-3.31', '-3.94', '-3.94', '-3.87', '-3.75', '-3.71', '-3.81']","['-3', '1', '-4', '18', '-6']","['85', '96', '102', '176', '1,635']"
151,Informed Technologies India Ltd,18.4,9.92,"['-0.64', '-0.10', '-0.37', '0.29', '-1.10', '0.95', '0.40', '0.43']","['-1.54', '-0.24', '-0.89', '0.70', '-2.64', '2.28', '0.96', '1.03']","['-0.00', '0.19', '-0.14', '0.03', '0.01']","['34.27', '43.80', '43.27', '65.18', '43.69']"
152,E.Com Infotech (India) Ltd,273,0.48,"['0.03', '-0.10', '0.01', '-0.07', '0.20', '-0.06', '-0.12', '0.06']","['0.06', '-0.20', '0.02', '-0.14', '0.40', '-0.12', '-0.24', '0.12']","['-0.01', '0.00', '0.02', '-0.01', '-0.01']","['13,359.00', '14,843.33', '3,044.43', '8,349.38', '27,302.00']"
153,NINtec Systems Ltd,17.7,11.0,"['0.48', '0.80', '0.73', '0.58', '1.39']","['0.70', '1.16', '1.06', '0.84', '2.02']","['2.33', '-0.10', '-0.03', '0.18', '-0.14']","['193.24', '3.59', '5.04', '169.21', '60.83']"
154,Jointeca Education Solutions Ltd,,-7.80,"['-0.31', '-0.44', '-0.54', '-0.49', '-0.32', '-0.48']","['-0.31', '-0.44', '-0.54', '-0.49', '-0.32', '-0.48']","['0.23', '0.52', '0.03', '-0.06', '0.01']","['149.81', '79.27', '244.79', '329.96', '260.11']"
155,Cadsys (India) Ltd,,-14.6,"['6.48', '2.43', '-2.13', '-4.81', '-0.56', '-3.76']","['8.64', '3.24', '-2.84', '-6.41', '-0.75', '-5.01']","['4.67', '4.73', '4.49', '2.43', '5.38']","['47.99', '5.84', '35.82', '42.44', '80.13']"
156,Netlink Solutions (India) Ltd,12.1,13.5,"['0.71', '-0.64', '-0.34', '-0.07', '-1.94', '0.84', '0.47', '1.11']","['2.81', '-2.53', '-1.34', '-0.28', '-7.67', '3.32', '1.86', '4.39']","['-0.36', '0.04', '0.22', '-0.19', '-0.02']","['11.41', '38.42', '44.92', '35.78', '43.80']"
157,Tranway Technologies Ltd,193,0.64,"['0.06', '-0.26', '-0.19', '0.29', '0.95']","['300.00', '-0.25', '-0.18', '0.27', '0.90']","['0.33', '0.30']","['33.66', '38.30']"
158,Lex Nimble Solutions Ltd,36.9,4.05,"['0.29', '0.65', '0.26', '0.37', '0.16', '0.24']","['0.69', '1.55', '0.62', '0.88', '0.38', '0.57']","['0.00', '0.00', '0.70', '-0.85', '0.13']","['0.00', '69.89', '0.00', '190.80', '56.93']"
159,COSYN Ltd,,-1.47,"['0.42', '0.29', '0.28', '0.69', '0.21', '-0.70', '-0.09', '-0.06']","['0.56', '0.39', '0.37', '0.92', '0.28', '-0.93', '-0.12', '-0.08']","['0.04', '-0.28', '0.35', '0.17', '0.56']","['118.36', '259.94', '-92.13', '84.73', '103.28']"
160,Mudunuru Ltd,,3.85,"['0.89', '-0.26', '-0.19', '0.09', '-5.85', '0.17', '-0.12', '0.03']","['0.37', '-0.11', '-0.08', '0.04', '-2.44', '0.07', '-0.05', '0.01']","['0.00', '0.27', '-0.25', '0.11', '0.50']","['12.12', '128.51', '143.68', '140.53', '46.08']"
161,Adroit Infotech Ltd,13.4,0.00,"['-0.86', '-0.49', '0.08', '0.18', '-30.97', '0.38', '0.54', '0.59']","['-0.47', '-0.27', '0.04', '0.10', '-16.95', '0.21', '0.30', '0.32']","['-0.04', '-0.22', '-0.14', '7.03', '-7.05']","['13,870.00', '476.07', '183.20', '116.63', '144.56']"
162,ACI Infocom Ltd,56.0,1.09,"['0.06', '0.02', '-0.01', '0.08', '-0.12', '0.07', '-0.09', '0.02']","['0.01', '0.00', '-0.00', '0.01', '-0.01', '0.01', '-0.01', '0.00']","['0.08', '-0.70', '0.22', '-0.84', '-0.04']","['-11.55', '-25.14', '58.98', '', '']"
163,Interworld Digital Ltd,,-0.02,"['-0.17', '-0.16', '-0.18', '-0.14', '-0.17', '-0.15', '-0.15', '0.03']","['-0.00', '-0.00', '-0.00', '-0.00', '-0.00', '-0.00', '-0.00', '0.00']","['0.07', '-0.05', '0.07', '0.13', '-0.10']","['236.62', '283.57', '236.47', '257.16', '274.34']"
164,Sofcom Systems Ltd,,-7.49,"['-0.03', '-0.07', '-0.09', '-0.10', '0.02', '-0.06', '-0.09', '0.04']","['-0.07', '-0.17', '-0.22', '-0.24', '0.05', '-0.14', '-0.22', '0.10']","['0.00', '0.03', '0.04', '0.03', '-0.04']","['2,555.00', '', '0.00', '0.00', '104.29']"
165,Sankhya Infotech Ltd,,-20.6,"['-11.46', '-33.40', '-33.32', '-1.86', '-2.63', '-1.90', '-1.87', '-1.88']","['-8.72', '-25.41', '-22.83', '-1.27', '-1.80', '-1.30', '-1.28', '-1.29']","['-0', '1', '1', '-2', '-0']","['218', '160', '162', '137', '108']"
166,Ajel Ltd,,-2.32,"['1.21', '-0.06', '0.08', '-0.05', '-0.44', '-0.13', '-0.02', '-0.02']","['1.04', '-0.05', '0.07', '-0.04', '-0.38', '-0.11', '-0.02', '-0.02']","['-1.22', '-0.00', '1.04', '0.26', '']","['143.93', '95.89', '187.52', '159.19', '196.00']"
167,Svam Software Ltd,15.7,0.15,"['0.89', '0.00', '0.01', '0.03', '-0.03', '0.00', '0.05', '-0.04']","['0.53', '0.00', '0.01', '0.02', '-0.02', '0.00', '0.03', '-0.02']","['1.41', '-1.65', '0.18', '-0.09', '-0.19']","['185.84', '41.53', '119.80', '-34.61', '24.75']"
168,Nihar Info Global Ltd,26.8,3.62,"['-0.03', '0.16', '0.09', '0.03', '0.03', '0.01', '0.03', '0.20']","['-0.04', '0.20', '0.11', '0.04', '0.04', '0.01', '0.04', '0.25']","['0.01', '0.06', '-0.09', '-0.00', '0.02']","['24.33', '186.74', '13.52', '76.84', '56.15']"
169,Objectone Information Systems Ltd,15.5,2.08,"['0.18', '0.21', '0.17', '0.05', '-0.17', '-0.18', '0.04', '0.70']","['0.17', '0.20', '0.16', '0.05', '-0.16', '-0.17', '0.04', '0.67']","['-0.04', '0.84', '-0.03', '0.28', '-1.00']","['35.47', '43.85', '40.22', '34.42', '50.65']"
170,Naapbooks Ltd,22.3,36.0,['0.05'],['0.27'],"['0.01', '0.04', '-0.02', '-0.02']","['238.59', '176.72', '108.69', '161.62']"
171,Ace Software Exports Ltd,13.6,-3.39,"['-0.11', '-0.61', '-0.57', '-0.43', '-0.10', '0.01', '0.24', '-0.15']","['-0.24', '-1.30', '-1.22', '-0.92', '-0.21', '0.02', '0.51', '-0.32']","['-0.15', '0.21', '-0.03', '0.00', '0.36']","['456.25', '0.00', '0.00', '29.20', '0.00']"
172,Jonjua Overseas Ltd,14.4,7.46,"['0.15', '0.05', '0.30', '0.39', '0.34']","['0.26', '0.09', '0.53', '0.68', '0.59']","['0.00', '0.00', '0.00', '0.00', '0.05']","['0.00', '0.00', '0.00', '0.00', '0.00']"
173,Infronics Systems Ltd,53.6,,"['-0.15', '0.00', '-0.06', '-0.02', '-0.18', '0.03', '-0.02', '-0.02']","['-0.19', '0.00', '-0.08', '-0.03', '-0.23', '0.04', '-0.03', '-0.03']","['-0.03', '0.89', '-0.15', '1.39', '-1.50']","['121.47', '145.52', '92.82', '143.32', '244.54']"
174,Southern Infosys Ltd,190,1.36,"['-0.21', '0.01', '-0.04', '0.02', '0.11', '0.11', '0.00', '-0.04']","['-0.42', '0.02', '-0.08', '0.04', '0.22', '0.22', '0.00', '-0.08']","['-0.05', '0.00', '0.00', '0.07', '0.19']","['3,577.00', '85.11', '3.56', '150.30', '192.28']"
175,Mindpool Technologies Ltd,6.32,8.90,"['0.19', '0.48', '0.20', '0.80', '0.69', '0.60']","['0.45', '1.13', '0.47', '1.89', '1.63', '1.42']","['1.16', '2.16', '-0.60', '-1.02', '0.37']","['88.64', '75.66', '120.22', '170.89', '130.03']"
176,Omni Axs Software Ltd,,-1.32,"['-0.03', '-0.03', '-0.03', '-0.03', '-0.03', '-0.06', '-0.04', '-0.03']","['-0.02', '-0.02', '-0.02', '-0.02', '-0.02', '-0.03', '-0.02', '-0.02']","['-0.33', '-0.09', '-0.17', '0.00', '0.00']","['2.98', '-4,927.50', '195.54', '365.00', '1,825.00']"
177,United Interactive Ltd,20.6,0.89,"['-0.88', '1.42', '0.06', '0.00', '-0.81', '-0.02', '0.00', '-0.03']","['-4.81', '7.76', '0.33', '0.00', '-4.42', '-0.11', '0.00', '-0.16']","['0.76', '-0.85', '1.55', '-1.15', '-0.04']","['30.94', '46.61', '83.16', '0.00', '195.67']"
178,TeleCanor Global Ltd,,-3.65,"['-0.47', '-0.52', '-0.49', '-0.45', '0.71', '-0.16', '-0.23', '-0.25']","['-0.41', '-0.46', '-0.43', '-0.40', '0.62', '-0.14', '-0.20', '-0.22']","['0.01', '0.09', '1.14', '-1.18', '-0.04']","['242.77', '244.69', '143.62', '159.75', '7,677.59']"
179,Wherrelz IT Solutions Ltd,818,15.4,['-0.15'],['-5.51'],"['-0.03', '0.00', '0.01']","['0.00', '16.59', '0.00']"
180,CLIO Infotech Ltd,,-3.84,"['-0.13', '-0.20', '-0.09', '-0.11', '-0.12', '-0.15', '-0.10', '-0.10']","['-0.12', '-0.18', '-0.08', '-0.10', '-0.11', '-0.14', '-0.09', '-0.09']","['0.00', '-0.46', '0.18', '-0.07', '-0.02']","['12.59', '14.31', '0.00', '32.85', '0.00']"
181,Niks Technology Ltd,51.1,29.1,"['0.09', '0.07', '0.10', '0.02']","['45.00', '35.00', '2.75', '0.55']","['0.02', '0.81']","['73.00', '76.84']"
182,BNR Udyog Ltd,11.1,7.50,"['-0.10', '-0.10', '-0.08', '-0.08', '-0.15', '-0.00', '0.22', '0.01']","['-0.33', '-0.33', '-0.27', '-0.27', '-0.50', '-0.00', '0.73', '0.03']","['-0.06', '-0.57', '0.21', '-0.29', '0.31']","['130.90', '255.15', '133.66', '177.60', '113.60']"
183,Bharatiya Global Infomedia Ltd,11.3,-0.05,"['0.72', '0.04', '-0.15', '-0.58', '-0.27', '-0.50', '-0.23', '-0.09']","['0.45', '0.03', '-0.09', '-0.37', '-0.17', '-0.32', '-0.15', '-0.06']","['-0.08', '0.87', '-0.02', '-0.23', '0.20']","['113.27', '144.24', '96.10', '106.41', '233.95']"
184,Senthil Infotek Ltd,,0.21,"['0.01', '-0.00', '-0.00', '0.01', '-0.00', '0.01', '0.01', '-0.00']","['0.02', '-0.00', '-0.00', '0.02', '-0.00', '0.02', '0.02', '-0.00']","['-0.19', '-0.01', '-0.08', '-0.16', '0.08']","['', '-0.00', '365.00', '365.00', '985.50']"
185,Triton Corp. Ltd,,-6.86,"['-7.78', '-0.05', '-0.05', '-0.07', '-0.67', '-0.04', '-0.12', '-0.06']","['-0.39', '-0.00', '-0.00', '-0.00', '-0.03', '-0.00', '-0.01', '-0.00']","['-0.27', '-0.59', '-0.04', '0.00', '-0.03']","['623,663.33', '', '', '', '']"
186,Melstar Information Technologies Ltd,,,"['-0.97', '-0.61', '-1.06', '-0.58', '2.15', '-0.70', '-1.90', '-0.29']","['-0.68', '-0.43', '-0.74', '-0.41', '1.51', '-0.49', '-1.33', '-0.20']","['0.19', '-0.03', '-0.34', '-0.05', '0.00']","['48.03', '69.67', '66.68', '128.06', '219.25']"
187,Sparc Systems Ltd,,-82.0,"['0.15', '-0.05', '-0.02', '-0.01', '0.07', '-0.04', '-0.01', '-0.01']","['0.31', '-0.10', '-0.04', '-0.02', '0.14', '-0.08', '-0.02', '-0.02']","['0.04', '-0.03', '0.06', '-0.07', '-0.04']","['-199.09', '529.25', '243.33', '85.88', '95.64']"
188,First Fintec Ltd,,-27.4,"['-1.33', '-1.24', '-1.40', '-1.47', '-0.78', '-1.87', '-1.90', '-1.91']","['-1.28', '-1.19', '-1.35', '-1.41', '-0.75', '-1.80', '-1.83', '-1.84']","['0.07', '0.10', '-0.22', '-0.00', '-0.00']","['69.65', '85.45', '102.06', '95.68', '122.02']"
189,Netripples Software Ltd,,0.10,"['0.13', '0.13', '0.18', '0.12', '0.01', '0.05', '0.06', '0.05']","['0.19', '0.19', '0.26', '0.18', '0.01', '0.07', '0.09', '0.07']","['', '0.00', '0.00', '0.69', '1.64']","['14.59', '14.30', '24.59', '26.08', '16.35']"
190,Hiliks Technologies Ltd,,3.55,"['-0.04', '0.02', '0.05', '-0.07', '0.09', '-0.22', '0.15', '0.26']","['-0.08', '0.04', '0.10', '-0.14', '0.18', '-0.43', '0.30', '0.51']","['0.11', '-0.13', '-0.02', '0.09', '-0.07']","['', '0.00', '', '425.83', '0.00']"
191,Advent Computer Services Ltd,,-1.32,"['-0.24', '-0.10', '-0.08', '-0.12', '-0.12', '-0.06', '-0.06', '-0.04']","['-0.15', '-0.06', '-0.05', '-0.07', '-0.07', '-0.04', '-0.04', '-0.02']","['0.00', '0.00', '0.02', '-0.01', '0.01']","['547.50', '126.96', '70.19', '0.00', '0.00']"
192,Quintegra Solutions Ltd,35.4,,"['-0.01', '-0.01', '-0.02', '-0.01', '0.23', '-0.02', '-0.16', '-0.01']","['-0.00', '-0.00', '-0.01', '-0.00', '0.09', '-0.01', '-0.06', '-0.00']","['0.29', '-0.56', '0.59', '-0.36', '0.35']","['512.54', '448.61', '56.53', '51.17', '22.72']"
193,Twinstar Industries Ltd,,-15.7,"['-0.16', '0.01', '-0.71', '-0.27', '-0.16', '-0.11', '-0.14', '-0.13']","['-0.07', '0.00', '-0.32', '-0.12', '-0.07', '-0.05', '-0.06', '-0.06']","['0.55', '-0.61', '1.31', '-1.26', '0.28']","['221.59', '199.94', '49.65', '33.95', '72.78']"
194,Virtualsoft Systems Ltd,,,"['-0.28', '-1.54', '-0.50', '-0.95', '-1.05', '-0.47', '-0.48', '-0.49']","['-0.27', '-1.50', '-0.49', '-0.92', '-1.02', '-0.46', '-0.47', '-0.48']","['-0.05', '0.09', '-0.01', '-3.00', '0.11']","['780.69', '-20.46', '38.84', '30.10', '7.16']"
195,Mahaveer Infoway Ltd,,-6.83,"['-0.29', '-0.12', '-0.14', '0.13', '-0.36', '-0.06', '-0.09', '0.07']","['-0.53', '-0.22', '-0.25', '0.24', '-0.65', '-0.11', '-0.16', '0.13']","['0.19', '-0.05', '0.21', '0.70', '-0.71']","['60.56', '82.58', '98.96', '40.61', '42.18']"
196,Hypersoft Technologies Ltd,52.6,0.30,"['-0.01', '0.06', '0.07', '-0.17', '-0.28', '0.01', '0.07', '0.02']","['-0.02', '0.14', '0.16', '-0.40', '-0.66', '0.02', '0.16', '0.05']","['0.09', '-0.05', '0.09', '-0.23', '-0.01']","['84.41', '15.21', '17.72', '22.53', '5.45']"
197,International Data Management Ltd,,,"['-0.03', '-0.04', '-0.11', '-0.01', '-0.01', '-0.04', '-0.01', '-0.02']","['-0.14', '-0.18', '-0.50', '-0.05', '-0.05', '-0.18', '-0.05', '-0.09']","['0.00', '-0.01', '0.00', '0.00', '0.00']","['', '', '', '', '']"
198,N2N Technologies Ltd,,-39.4,"['-0.03', '-0.06', '0.00', '-0.01', '-0.02', '-0.05', '-0.02', '-0.02']","['-0.09', '-0.19', '0.00', '-0.03', '-0.06', '-0.15', '-0.06', '-0.06']","['0.02', '0.17', '-0.28', '0.00', '0.00']","['208.57', '-1,629.15', '', '', '-12,491.11']"
199,Adjia Technologies Ltd,,-15.6,"['-0.01', '-0.23', '-0.10']","['-1.39', '-2.61', '-1.14']","['0.00', '0.00', '', '', '0.03']","['', '0.00', '', '', '0.00']"
200,Interactive Financial Services Ltd,3.05,10.0,"['0.27', '0.08', '0.05', '0.07', '-0.07', '0.15', '0.06', '0.10']","['0.90', '0.27', '0.17', '0.23', '-0.23', '0.50', '0.20', '0.33']","['-0.00', '0.04', '0.04', '-0.05', '0.10']","['-0.00', '-0.00', '-0.00', '-0.00', '42.44']"
201,Quest Softech India Ltd,1.40,-133,"['0.44', '-0.03', '-0.03', '0.00', '0.00', '-0.02', '-0.03', '-4.09']","['0.44', '-0.03', '-0.03', '0.00', '0.00', '-0.02', '-0.03', '-4.09']","['-0.21', '0.12', '0.01', '-0.09', '0.10']","['77.11', '393.63', '0.00', '365.00', '328.50']"
202,Capricorn Systems Global Solutions Ltd,,-11.8,"['-0.04', '0.01', '0.02', '0.01', '-0.01', '0.01', '-0.00', '-0.01']","['-0.10', '0.03', '0.05', '0.03', '-0.03', '0.03', '-0.00', '-0.03']","['0.07', '-0.00', '-0.09', '0.12', '-0.05']","['2.83', '-0.00', '-0.00', '-0.00', '30.19']"
203,GI Engineering Solutions Ltd,,-44.9,"['0.00', '-0.01', '-0.01', '0.00', '-0.02', '0.00', '-0.96', '-1.34']","['0.00', '-0.01', '-0.01', '0.00', '-0.02', '0.00', '-1.11', '-1.56']","['0.02', '0.39', '-0.29', '-0.11', '0.02']","['574.96', '567.46', '4,183.46', '365.00', '365.00']"
204,PFL Infotech Ltd,37.8,0.57,"['-0.01', '0.19', '-0.93', '-0.01', '-1.15', '-0.01', '0.00', '-0.06']","['-0.01', '0.25', '-1.24', '-0.01', '-1.54', '-0.01', '0.00', '-0.08']","['0.00', '0.01', '0.03', '-0.04', '0.02']","['0.00', '', '', '', '']"
205,Centerac Technologies Ltd,,-66.7,"['-0.03', '0.01', '0.07', '0.00', '0.00', '-0.02', '0.03', '0.01']","['-0.03', '0.01', '0.06', '0.00', '0.00', '-0.02', '0.03', '0.01']","['0.04', '-0.05', '0.36', '-0.10', '0.08']","['91.25', '215.29', '48.21', '91.82', '77.55']"
206,Meglon Infra-Real (India) Ltd,,-6.49,"['0.01', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00']","['0.02', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00']","['0.09', '0.00', '0.00', '0.05', '-0.01']","['1,095.00', '0.00', '365.00', '121.67', '962.27']"
207,I Power Solutions India Ltd,110,0.22,"['0.00', '0.01', '0.00', '0.00', '-0.02', '0.00', '0.00', '-0.01']","['0.00', '0.02', '0.00', '0.00', '-0.04', '0.00', '0.00', '-0.02']","['-0.05', '0.05', '-0.04', '-0.01', '0.00']","['206.05', '217.26', '341.45', '83.43', '189.80']"
208,Pagaria Energy Ltd,,0.16,"['0.15', '0.00', '0.01', '0.02', '-0.01', '0.00', '0.00', '0.00']","['0.34', '0.00', '0.02', '0.05', '-0.02', '0.00', '0.00', '0.00']","['-0.08', '-0.21', '-0.01', '0.21', '-0.31']","['7.57', '104.29', '134.16', '152.91', '94.35']"
209,Palsoft Infosystems Ltd,,,"['0.03', '-0.02', '-0.06', '-0.02', '0.01', '0.08', '-0.01', '-0.01']","['0.10', '-0.07', '-0.20', '-0.07', '0.03', '0.27', '-0.03', '-0.03']","['0.00', '0.00', '0.00', '0.07', '-0.08']","['62.32', '0.00', '0.00', '0.00', '0.00']"
210,Fourth Generation Information Systems Ltd,,,"['-0.04', '0.00', '-0.11', '-0.14', '-0.01', '-0.01', '-0.01', '-0.02']","['-0.11', '0.00', '-0.31', '-0.39', '-0.03', '-0.03', '-0.03', '-0.06']","['0.00', '0.04', '0.01', '0.13', '-0.10']","['', '1,720.71', '213.31', '309.70', '514.32']"
211,CES Ltd,0.04,23.2,"['3.53', '5.33', '5.74', '4.47', '4.47', '8.04', '3.57', '3.41']","['0.97', '1.46', '1.58', '1.23', '1.23', '2.21', '0.98', '0.94']","['', '-2', '3', '-3', '4']","['55', '79', '57', '60', '63']"
212,Covidh Technologies Ltd,,,"['-0.02', '-0.06', '-0.09', '-0.08', '-0.19', '-0.07', '-0.07', '-0.00']","['-0.02', '-0.06', '-0.08', '-0.08', '-0.18', '-0.07', '-0.07', '-0.00']","['', '-0.01', '-0.03', '0.04', '-0.04']","['147.90', '138.99', '137.53', '151.73', '130.54']"
213,Aris International Ltd,21.0,,"['0.03', '0.01', '0.00', '0.00', '0.01', '-0.02', '-0.03', '0.00']","['0.65', '0.22', '0.00', '0.00', '0.22', '-0.43', '-0.65', '0.00']","['0.22', '-0.19', '-0.02', '0.00', '-0.01']","['-172.47', '0.00', '', '0.00', '0.00']"
214,Baron Infotech Ltd,,-2.09,"['-0.08', '0.00', '0.00', '-0.02', '0.01', '0.00', '0.00', '-0.03']","['-0.08', '0.00', '0.00', '-0.02', '0.01', '0.00', '0.00', '-0.03']","['', '0.02', '-0.02', '0.00', '0.00']","['1,022.00', '231.63', '246.62', '811.11', '608.33']"
215,G-Tech Info Training Ltd,,-55.6,"['-0.02', '-0.01', '-0.01', '-0.05', '-0.01', '-0.00', '-0.00', '-0.02']","['-0.06', '-0.03', '-0.03', '-0.14', '-0.03', '-0.00', '-0.00', '-0.06']","['0.01', '0.02', '0.01', '-0.03', '0.01']","['10,020.91', '-0.00', '-0.00', '-0.00', '-0.00']"
216,Datasoft Applications Software (India) Ltd,,-8.86,"['0.00', '-0.02', '-0.03', '-0.03', '-0.21', '0.00', '-0.02', '-0.02']","['0.00', '-0.06', '-0.10', '-0.10', '-1.86', '0.00', '-0.18', '-0.18']","['0.00', '0.00', '0.01', '-0.01', '0.00']","['0.00', '', '', '', '']"
