,Company Name,Cash Flow,PE Ratio,PBV,ICR,ROE,ROCE
65,Network 18,212,117.42,6.90,"['4.41', '2.02', '0.11', '-0.18']","['5.90', '-45.83', '-37.36', '-13.58']","['17.43', '14.08', '0.62', '-0.50']"
66,Sundaram Fin,85,24.31,3.68,"['1.53', '1.41', '1.54', '1.75']","['15.07', '11.85', '18.54', '12.92']","['8.67', '41.74', '8.21', '8.08']"
67,A.K.Capital Ser,-84,2.74,0.30,"['2.19', '1.57', '1.63', '1.66']","['10.87', '8.29', '12.19', '12.00']","['13.03', '15.52', '18.26', '9.25']"
68,PTC India Fin,266,45.13,0.55,"['1.12', '1.18', '1.30', '0.78']","['1.20', '5.20', '8.91', '-5.16']","['30.58', '44.18', '47.05', '4.39']"
69,Tata Inv Corp,-3,34.02,0.37,"['1,624.37', '405.24', '--', '22,348.08']","['1.08', '1.12', '1.68', '1.57']","['0.95', '1.30', '1.64', '1.40']"
70,Tamboli Capital,-3,4.99,0.57,"['63.48', '15.07', '17.11', '16.99']","['11.46', '5.56', '9.99', '10.93']","['15.70', '7.81', '14.21', '16.57']"
71,REC,-538,3.09,0.60,"['1.50', '1.37', '1.52', '1.45']","['19.39', '14.04', '16.61', '13.65']","['11.19', '9.99', '8.50', '8.12']"
72,ICICI Prudentia,0,66.91,5.28,"['33.77', '8,982.32', '8,954.31', '10,387.09']","['7.90', '14.79', '16.22', '23.60']","['0.52', '0.69', '0.72', '1.17']"
73,Power Finance,"3,022",2.56,0.49,"['1.45', '1.34', '1.51', '1.39']","['19.33', '14.41', '21.05', '16.79']","['11.15', '10.50', '11.00', '8.45']"
74,Inditrade Capit,1,14.22,0.63,"['1.43', '1.60', '1.83', '2.57']","['4.40', '7.34', '9.55', '7.74']","['15.02', '22.63', '16.18', '3.84']"
75,Bajaj Holdings,-72,10.04,0.99,"['85.25', '21.40', '--', '--']","['9.82', '10.77', '11.31', '10.53']","['0.71', '0.82', '1.27', '1.40']"
76,Nahar Capital,0,2.87,0.17,"['230.23', '22.27', '34.90', '55.17']","['5.84', '0.46', '2.48', '1.87']","['3.51', '1.34', '1.32', '1.94']"
77,Bajaj Finserv,"2,550",34.42,4.29,"['2.08', '1.89', '2.25', '2.35']","['12.47', '10.76', '13.55', '12.93']","['13.35', '14.02', '14.52', '10.74']"
78,Chola Invest.,"-1,898",30.12,4.78,"['1.45', '1.35', '1.51', '1.53']","['15.84', '12.85', '19.29', '17.93']","['25.13', '30.79', '21.87', '9.31']"
79,Ravindra Energy,-3,58.62,10.68,"['0.81', '1.88', '-5.03', '-1.00']","['14.03', '-43.92', '0.00', '-164.04']","['8.56', '73.97', '-160.42', '-12.81']"
80,Stanrose Financ,1,-6.52,0.53,"['-186.78', '--', '--', '--']","['-8.06', '-16.25', '1.23', '5.85']","['-7.74', '-16.33', '0.85', '7.99']"
81,Bajaj Finance,516,69.99,8.39,"['1.64', '1.77', '1.93', '1.88']","['11.97', '16.28', '20.28', '16.16']","['12.63', '15.55', '15.21', '13.62']"
82,Capital Trust,4,-6.49,1.19,"['0.11', '1.23', '1.66', '1.12']","['-18.07', '2.76', '6.06', '0.62']","['1.55', '35.72', '46.27', '12.70']"
83,21st Cen Mgt,-9,2.94,0.66,"['--', '--', '--', '--']","['21.28', '-175.27', '-11.86', '9.84']","['21.18', '-173.75', '-9.08', '13.64']"
84,Intec Capital,0,1.32,0.36,"['84.42', '-5.17', '0.83', '0.01']","['27.01', '-77.81', '-11.01', '-22.24']","['26.05', '-84.18', '8.27', '0.21']"
85,HDFC,"-2,569",23.66,2.88,"['1.60', '1.64', '1.50', '1.42']","['11.95', '16.94', '14.52', '13.03']","['9.13', '11.57', '10.60', '9.24']"
86,Ind & Prud Invt,0,7.13,0.37,"['--', '--', '--', '--']","['5.12', '7.56', '5.71', '10.06']","['1.42', '1.22', '1.22', '10.06']"
87,Paisalo Digital,12,54.52,3.86,"['1.50', '1.47', '1.57', '1.74']","['7.11', '7.10', '8.53', '9.46']","['19.13', '22.78', '26.38', '11.91']"
88,Niyogin Fintech,39,-86.27,2.23,"['-29.30', '-80.14', '', '']","['-2.42', '-9.90', '', '']","['-2.18', '-9.89', '', '']"
89,L&T Finance,"1,349",21.35,1.26,"['1.18', '1.36', '1.44', '1.27']","['5.17', '11.57', '16.55', '10.99']","['12.03', '15.81', '9.40', '7.91']"
90,Arihant Super,0,13.10,1.05,"['1.71', '1.52', '1.70', '2.48']","['8.05', '4.43', '11.20', '10.68']","['11.64', '9.83', '14.75', '12.30']"
91,Emkay Global,52,14.37,0.96,"['4.28', '-1.42', '2.61', '9.49']","['6.69', '-8.23', '5.23', '17.72']","['11.91', '-5.77', '9.31', '17.47']"
92,JM Financial,16,13.34,1.15,"['1.96', '1.79', '1.89', '2.14']","['8.43', '9.66', '11.14', '14.26']","['11.90', '15.01', '15.49', '4.71']"
93,Waaree Renewabl,-26,0.00,4.63,"['1.78', '0.28', '1.38', '5.59']","['-10.62', '-12.24', '-20.50', '0.89']","['4.15', '0.98', '3.73', '4.43']"
94,SMIFS LIMITED,0,88.00,0.24,"['141.84', '5.46', '18.10', '11.00']","['0.27', '0.07', '0.43', '2.24']","['3.08', '0.18', '0.63', '0.76']"
95,Indostar Capita,110,-14.99,1.05,"['0.69', '0.49', '1.67', '1.96']","['-5.80', '-12.11', '8.00', '9.65']","['8.51', '8.87', '7.88', '9.22']"
96,Indo Thai Secu,1,5.45,0.99,"['20.35', '-9.10', '3.10', '14.17']","['18.36', '-24.08', '3.53', '15.70']","['30.23', '-26.56', '5.73', '21.64']"
97,PNB Housing Fin,"-1,545",6.78,0.71,"['1.24', '1.14', '1.34', '1.35']","['10.42', '8.08', '15.79', '12.80']","['15.83', '14.91', '12.62', '9.16']"
98,STEL Holdings,62,17.49,0.20,"['--', '--', '--', '--']","['1.11', '3.35', '1.35', '0.76']","['1.49', '3.42', '1.39', '0.78']"
99,Repco Home,130,7.02,1.00,"['1.48', '1.44', '1.50', '1.47']","['14.20', '16.29', '15.99', '15.85']","['55.06', '46.25', '43.24', '10.06']"
100,U. Y. Fincorp,9,5.66,0.26,"['17.22', '7.42', '--', '1,756.48']","['4.52', '-2.49', '1.78', '4.72']","['5.06', '2.10', '6.32', '6.61']"
101,Monarch Net,-119,0.00,1.81,"['17.89', '1.45', '3.91', '4.15']","['22.57', '2.74', '16.27', '27.59']","['37.39', '13.27', '22.22', '39.18']"
102,Rel Capital,88,-0.03,-0.02,"['-2.05', '-0.54', '0.67', '-0.05']","['0.00', '0.00', '0.00', '-457.45']","['-58.51', '-11.75', '9.86', '-0.41']"
103,Muthoot Finance,"1,934",12.72,3.11,"['2.25', '2.34', '2.29', '2.38']","['24.42', '26.52', '20.92', '23.29']","['29.19', '31.70', '29.88', '15.74']"
104,Geojit Fin,-62,9.72,2.02,"['54.43', '26.66', '27.33', '158.09']","['20.80', '9.33', '4.37', '13.12']","['24.30', '13.14', '11.23', '18.73']"
105,Religare Enterp,-121,-4.45,-48.26,"['0.31', '-0.01', '-0.77', '-0.11']","['0.00', '-923.09', '-154.51', '-56.90']","['10.06', '-0.61', '-7.61', '-1.08']"
106,BF Investment,6,3.89,0.32,"['2,076.80', '261.80', '763.45', '598.11']","['8.09', '8.43', '6.16', '6.54']","['0.28', '0.80', '0.69', '0.30']"
107,Shriram Trans,"7,961",14.02,1.66,"['1.36', '1.42', '1.50', '1.59']","['11.50', '13.84', '16.13', '18.61']","['14.86', '16.63', '16.85', '10.50']"
